title,link,views,watched
CppCon 2018: Viktor Kirilov “Interactive C++ Compilation (REPL) Done in a Tiny and Embeddable Way”,https://www.youtube.com/watch?v=UEuA0yuw_O0,5859,
CppCon 2018: Anny Gakhokidze “Workflow hacks for developers”,https://www.youtube.com/watch?v=K4XxeB1Duyo,5767,
CppCon 2018: Tony Wasserka “Curly Function Call Syntax”,https://www.youtube.com/watch?v=L8eeDzTWEtU,5725,
CppCon 2018: Jeff Trull “Liberating the Debugging Experience with the GDB Python API”,https://www.youtube.com/watch?v=ck_jCH_G7pA,5695,
CppCon 2018: Arthur O'Dwyer “Concepts As She Is Spoke”,https://www.youtube.com/watch?v=CXn02MPkn8Y,5683,
CppCon 2018: ‘Emulating the Nintendo 3DS: Generative & Declarative Programming in Action’,https://www.youtube.com/watch?v=67OCoOLVuK8,5668,
CppCon 2018: John Woolverton “Interfaces Matter”,https://www.youtube.com/watch?v=PG_sbSZL06U,5666,
CppCon 2018: Jonathan Keinan “Cache Warming: Warm Up The Code”,https://www.youtube.com/watch?v=XzRxikGgaHI,5577,
CppCon 2018: Mark Elendt “Dangling in French and English”,https://www.youtube.com/watch?v=jieYLTcmTS0,5522,
CppCon 2018: Morris Hafner ‘UEFI Applications With Modern C++’,https://www.youtube.com/watch?v=z6wKEJ-daD4,5434,
CppCon 2018: Andreas Weis “Fixing Two-Phase Initialization”,https://www.youtube.com/watch?v=S7I66lZX_zM,5303,
"CppCon 2018: Nicole Mazzuca “Value Semantics: Fast, Safe, and Correct by Default”",https://www.youtube.com/watch?v=PkyD1iv3ATU,5163,
CppCon 2018: Howard Hinnant “＜chrono＞ Then and Now”,https://www.youtube.com/watch?v=Q-4fzrhgBTg,5158,
CppCon 2018: Ezra Chung “Forwarding Values... and Backwarding Them Too?',https://www.youtube.com/watch?v=hwT8K3-NH1w,5029,
CppCon 2018: Anastasiia Kazakova “Debug C++ Without Running”,https://www.youtube.com/watch?v=eGWM_dI5egQ,5012,
"CppCon 2018: Nimrod Sapir “The perfect job interview (well, maybe)”",https://www.youtube.com/watch?v=TKUmi724k7Y,4983,
CppCon 2018: Titus Winters “Standard Library Compatibility Guidelines (SD-8)”,https://www.youtube.com/watch?v=BWvSSsKCiAw,4859,
CppCon 2018: Christopher Di Bella “How to Teach C++ and Influence a Generation”,https://www.youtube.com/watch?v=3AkPd9Nt2Aw,4855,
CppCon 2018: Kris Jusiak “[Boost].DI - Inject all the things!”,https://www.youtube.com/watch?v=8HmjM3G8jhQ,4724,
CppCon 2018: Juan Manuel Martinez Caamaño “Easy::Jit: A Just-in-Time compilation library for C++”,https://www.youtube.com/watch?v=_WPdof1dTqo,4682,
