"title","link","views","watch"
"Drinking from the Fire Hose: Keeping up with the evolving landscape of C++ - Brian Ruth - CppCon","https://www.youtube.com/watch?v=kO-cNY8nX70",3773,
"Effective Remote C++ Development with Codespaces - Nick Uhlenhuth - CppCon 2020","https://www.youtube.com/watch?v=HrOEyJVU5As",3716,
"How To Profile Compilation Duration? - Thomas Lourseyre - CppCon 2020","https://www.youtube.com/watch?v=msSECd8vbPo",3594,
"Plenary: Neighborhoods Banding Together: Reasoning Globally about Programs - Lisa Lippincott -CppCon","https://www.youtube.com/watch?v=Zjy8RCb8p7M",3502,
"If You Build It, Will They Come?  - Javier Estrada - CppCon 2020","https://www.youtube.com/watch?v=I8lVKve_bEk",3266,
"A 'Lighting' Talk - 3 Point Lighting For Video in 5 Minutes - Jim Roper - CppCon 2020","https://www.youtube.com/watch?v=u-vMOSrQGow",3239,
"Functional Error and Optional-value Handling with STX - Basit Ayantunde - CppCon 2020","https://www.youtube.com/watch?v=MpWtS_I_pJI",3012,
"C++ Community Surveys - Jens Weller - CppCon 2020","https://www.youtube.com/watch?v=JYzDpXI-vWI",2470,
"C++ Committee's Library Evolution Working Group Panel - Hosted by Ben Craig - CppCon 2020","https://www.youtube.com/watch?v=udKNou797Zc",1778,
"C++ Committee's Library Evolution Working Group - Hosted By Bryce Adelstein Lelbach - CppCon 2020","https://www.youtube.com/watch?v=Py1eVrJ2S88",1613,
"C++ Community Organizers Panel - Hosted By Jon Kalb - CppCon 2020","https://www.youtube.com/watch?v=wdumaKkCR5E",1197,
